category,n,metric,baseline_mean,enhanced_mean,delta
comparative,5,faithfulness,0.9349,0.7222,-0.2126
deep_context,11,faithfulness,0.9471,0.8803,-0.0668
edge_case_ambiguous,1,faithfulness,0.9375,0.9200,-0.0175
edge_case_numerical,1,faithfulness,0.6667,,
edge_case_out_of_scope,1,faithfulness,1.0000,1.0000,0.0000
edge_case_too_broad,1,faithfulness,1.0000,0.9394,-0.0606
simple_factual,5,faithfulness,1.0000,0.8892,-0.1108
comparative,5,context_recall,0.7500,0.1667,-0.5833
deep_context,11,context_recall,0.8561,0.9697,0.1136
edge_case_ambiguous,1,context_recall,0.5000,0.3333,-0.1667
edge_case_numerical,1,context_recall,0.6667,,
edge_case_out_of_scope,1,context_recall,0.0000,0.0000,0.0000
edge_case_too_broad,1,context_recall,0.0000,0.0000,0.0000
simple_factual,5,context_recall,0.8000,1.0000,0.2000
